kingsnows1759	0.8532777,0.39504713
reesedelaney	0.091632485,0.8753374
okies4carrie	1.1871626,0.77429265
captain257	0.6925454,0.6482995
tenshikim	0.32199356,0.5972513
cherryfyre	-0.21701208,0.95035416
jaadams787	0.8855412,0.6486272
marywyatt19	0.5121997,0.9020362
alydlpr	0.8662851,0.62798417
blackwolf1210	-0.12139429,0.70263964
shortigrl	0.60483956,0.85236615
noowaada	0.53478473,0.28231916
itsmenanice	0.9975177,0.43480167
govtstheproblem	-0.043374464,0.6812574
ahmad_rasberry	1.2303855,1.5853568
jaketapper	0.4747137,0.8382007
alabanzadavid	-0.51710224,1.345128
jamesgaius	0.3037044,0.8289336
pushajt	0.8589587,0.6382718
magicfingaaz	0.017757269,0.7696669
officialjoelf	1.0553353,0.1766935
prattreport	0.5673299,0.21988638
angelasimpsonh	0.7230159,0.9846289
cameron_gray	1.0817366,0.38920507
cassidaayyy	-0.49769685,1.3651316
lexitroiano	1.2822435,0.20213358
miharbiaras	0.551066,0.29831335
bbtaner	0.84396154,0.36861053
sthrnpoet88	1.2112079,1.6269835
eklin_services	0.5249346,0.90434575
ericweisbrod	0.7814069,0.39736474
indiaaaam	0.99582946,-0.28680092
moneeymont	0.96058005,-0.2543541
jerzyluv2a	-0.15486121,0.5172508
seabe1985	0.8090779,0.34733683
chriskelbaugh	-0.091946505,0.97409505
mattg_moore	0.56311345,0.8789118
shearere13	0.68758863,0.63714904
ddugann	0.29928136,0.3576092
negation2010	0.6739713,0.35712713
ajbuckner85	-0.03834888,0.81960684
thatlatinguy_	0.98616177,-0.23947132
riseoftaj	0.4900959,0.70433164
triplenickle29	0.07652781,0.77464896
jemorones	0.7346669,0.3402835
lifeunraveling	0.39817226,0.17890151
instapundit	0.26215416,0.7365194
zage56	0.02749263,0.5549223
nieves_rd	0.3206352,0.29638952
wnew	0.6615142,0.7311317
charlamaigne	0.07605038,0.73904425
wisedadlives	0.5865004,0.5358182
dylanschweizer	0.7992683,-0.08334225
ahhokk	-0.23913634,0.1553371
herotlevy	0.76445913,0.30366045
lolamayfarms	0.09838167,0.8996281
ducksaucey	1.0890797,-1.8972646
bbydei	0.9787706,-0.28946504
ethanschroder	0.08208229,0.8187023
mermaids05	0.43141642,0.94825035
byerscarol	0.041463513,0.740209
kimztm	0.90419114,0.5798436
bretthall17	0.7143447,0.80409366
jmptrillog	0.5806733,0.8850681
cmoney8904	0.35370705,0.2921946
konradlata	0.49596226,0.8614232
problk_	1.1020324,1.0893958
sheegee	0.32507396,0.27295557
michellllle_	1.1394805,0.3675
bestwebenglish	0.0058613,0.50616056
someshinobi	1.2656738,-0.13293257
mitchellpavelko	0.17804007,0.91528404
tbkbeats	1.2520947,1.5903784
karenregis	1.2567153,0.40894157
selfies_fan	0.48053244,0.6105198
tamedinsanity	0.44826996,0.1195047
libertyson1789	0.011597227,0.9194528
nanavlee7	0.041470826,0.7402235
d_headland	0.07282618,0.60110795
shroomshali	-0.012195133,-0.28455833
jareddeskins	0.11730197,0.8863745
dankruse777	0.3187059,0.45058307
mcfw	0.4361138,0.65145767
gpparaz	0.37671283,0.7351851
sdlauram	1.5085616,0.5804238
siestoylista	0.81103736,0.40146244
j_andyyy	0.78497946,0.6758405
sassyunicornsx	-0.5936933,0.71071553
katietierneyh	0.29341018,0.3012252
dakotanderson1	0.5388052,0.90288264
sammyson16	0.38077372,0.36259422
charlespdavis	0.4966888,0.73245907
ltribbs	0.53559375,0.8296313
anasuyaiam	1.6136221,1.0128555
discipleanon	0.23183599,0.89959395
curvegoddesss__	1.1989051,-1.8410314
elusio	0.49795204,0.57772565
bono_bono62	0.4810627,0.85755515
mhscott16	1.1067082,0.111662276
mikaelthalen	0.3885859,0.2924133
peternickeas	0.31458792,1.0888836
bassmavrik	-0.22062442,0.6536468
thebasedviking	0.17371538,0.82207745
xhrdcvrx	1.2761248,0.2111549
iameldererick	0.8964035,0.62443906
hotnostrilsrfun	0.045899317,0.5956059
cturtle31	0.07768122,0.6224739
xoxoroxyg	0.8698956,0.6011577
drewtabori	0.39461252,0.743766
popo50wife	0.5016261,0.8756528
redgtosamurai	0.013827544,0.78475565
aguettatfi	1.2718977,0.22219877
chillenigga	1.1847296,-1.8419303
shimonpro	0.6638646,0.164549
jackiepedroza_	1.2845453,0.17308697
j_michelle09	0.7945207,0.36233342
l0v3alphaomega	0.124815516,0.7200057
godgunsgutsllc	0.46814972,0.75187546
pbdadude	1.1713672,1.6146419
wonderstacey	0.36176327,1.0007402
johnmknox	0.3489486,0.5372209
cindyg1948cindy	0.08865037,0.75446075
danieltobin	-0.16005823,0.9027898
govtdude	0.23057686,0.90095145
jc_1221	0.9521493,-0.5872952
casezumamehe	0.8248673,0.64492923
mybougiebaby2	0.39121687,0.60143054
manifestmillion	1.1451238,1.0629197
dr___sh	0.5556327,0.09597129
mrjonfaust	-0.34752852,0.7631953
liose7en	0.40216145,-0.27081218
occupybawlstree	0.13298568,0.62624323
morgan_est1980	1.6088678,1.0256778
repbloom	0.64756614,0.24789773
marwandz92	-0.2744012,0.15618138
flyboy1971usf	0.7774475,0.35847494
xryslo	0.8256173,0.5344091
writeonright	0.18915483,0.5418765
luckylibrarian1	1.197295,1.1498393
rareboadicea	-0.20277171,0.6201866
ayman_deiri	0.9075153,-0.46543053
xbradtc	-0.17250128,0.882767
hattiplevin	0.03450049,0.47695255
crassiux	0.9138116,0.21102041
lboogiiee	0.89282465,0.66363096
harrison_partch	1.2760328,-0.12835981
dobryjoe	-0.36918464,0.7681485
gogoette	0.060263626,0.5806849
dulaney_l	0.03732173,0.4975207
ransportsguy	0.15813127,0.8127819
successbuys	0.38992205,-0.27094686
dawaudthabiti	1.2064368,1.6050247
artbyawohs	0.010929156,0.49177137
rekkaharu	1.2455943,1.6019212
gracespxx	-0.54310805,1.3253139
nerdyaa	0.32397118,1.1681203
nextgenjt2015	0.40836582,0.43125954
gmsarris98	1.1221945,0.6854315
tayste_cakes	1.2274954,0.20325664
gnarrrgh	1.5128455,0.4403596
majid_habab	0.5844803,0.86140853
andersen_eva	0.5048431,0.81266654
uga10	0.5242596,0.2784782
cneakerz	1.11083,-1.7937421
deathrep	1.2249756,1.621815
oaverette	1.2415338,0.43903646
conniebaustin	-0.17250128,0.882767
urza83	0.13205414,0.02006039
travpesci	0.5090754,0.2267251
beauxbina	0.0822921,0.592729
anneclairecnn	0.80242383,0.41454926
oorangesoda	-0.5132073,1.3641287
tropicaichiil	1.1635816,-1.9038953
heefosaurus	0.33737865,0.27529404
rk70534	1.1979249,0.6924023
sarahobbit2	-0.1004932,0.46248183
feministtears	1.384786,-0.22126748
kennethdeweese	1.241795,1.5830315
libertygirlnh	-0.20215608,0.60727257
trapfulvibes	1.3573418,-2.3774488
pearlsbaubles	0.8008787,-0.086384825
thecleansock	1.0910889,-1.7820282
rawstongeorge	1.2458738,0.19168451
pipstodollars	0.6800851,0.8416187
anniejmj	0.37827203,0.71216893
dancedarrian96	0.8775061,0.66185945
jeffquinton	0.20900965,0.15494005
plummer4	0.18007779,0.7031018
thirdeye_fx	1.2246866,1.5634267
greyaesthetic	1.0138873,-0.25948194
travheem	0.9769462,-0.26408616
xarg3x	1.0122869,-0.2708837
offcentrenews	1.1407933,1.1071963
robs_tweeting	0.37518907,0.37215048
cryptohio	0.35117128,0.2775229
bl1zzyblake	0.5798332,0.8469381
lovee_averyy	1.2720215,0.19752747
lg4lg	-0.13481145,1.0751741
zamnw_savoir	0.5018041,0.2167841
chrismaycbs3	0.4056447,0.1555454
diesel953	0.8805096,0.6137969
fightergabao	-0.28455094,0.14612526
kevinkent_	-0.25133017,0.11637491
raezer10	0.34312138,0.77732444
hrblock_21	0.4645159,0.73978025
bootstrapzorg	0.13980678,0.7369837
ron_christie	-0.13918786,0.7713428
indy827	0.36484623,0.72370374
imnotasiantho	1.1130728,1.1244189
foxfoxtruth	0.018607281,0.65938675
dcrumedy	1.38355,0.62643266
citizenvexxed	0.010904482,0.51849973
qimzyfa	0.59799564,-0.06904907
mavericks619	0.8219292,0.36790255
toriblasecnn	0.8232131,0.3869485
jroc23	0.33402258,0.68008524
elenaelena8585	0.08566377,0.36575174
a_standal	0.5818584,0.26773915
pakokoya	0.7681106,0.054301728
rockets_world	0.7883278,0.38446623
andreapadilla00	-0.52614367,1.3340317
lifewitry_	1.0175142,0.27621
olliepartridgee	1.1989074,-1.841026
